,0
871,4507175941
872,4500736490
873,4500753249
874,4500691690
875,4496120259
876,4496056048
877,4496012980
878,4492951247
879,4492897871
880,4492818164
881,4492881282
882,4492737842
883,4492782479
884,4492626063
885,4492549680
886,4492543505
887,4488721945
888,4451840954
889,4450851281
890,4450759236
891,4450708193
892,4450791888
893,4450770112
894,4450599010
895,4445997905
896,4445914273
897,4445858075
898,4445851365
899,4445710036
900,4566062551
901,4566020725
902,4548470362
903,4547124866
904,4547140661
905,4546964981
906,4546828525
907,4546901728
908,4546523127
909,4542764899
910,4542088062
911,4534409592
912,4534424988
913,4534279306
914,4533344475
915,4533022994
916,4532927490
917,4532827788
918,4532850084
919,4531313800
920,4531248027
921,4530287783
922,4527074688
923,4526997035
924,4527001749
925,4526588034
926,4521588590
927,4521496035
928,4521511124
929,4521413093
930,4521380059
931,4521324930
932,4521239283
933,4521215328
934,4521230238
935,4520332597
936,4520207883
937,4520124974
938,4519730848
939,4519632738
940,4519508700
941,4519475179
942,4518536671
943,4518560033
944,4518452547
945,4516096398
946,4515998446
947,4515952423
948,4515762807
949,4512300000
950,4512305318
951,4512350602
952,4512226946
953,4512202751
954,4510798970
955,4510856842
956,4510041676
957,4510040548
958,4507365800
959,4507452578
960,4507392309
961,4507337812
962,4507324328
963,4507281686
964,4507186778
965,4498824385
966,4497110092
967,4497048282
968,4496976579
969,4496041455
970,4495956516
971,4486645507
972,4486634402
973,4486701462
974,4486630910
975,4486351704
976,4486292902
977,4474229669
978,4474078482
979,4473797193
980,4473638534
981,4473559022
982,4473542660
983,4462617743
984,4462612533
985,4462595996
986,4462540096
987,4462043624
988,4460224171
989,4459888005
990,4459850072
991,4459755078
992,4459628674
993,4459652060
994,4457962476
995,4457890973
996,4457702332
997,4457693997
998,4454586294
999,4452561587
1000,4566237857
1001,4564850173
1002,4563606226
1003,4563516868
1004,4563387344
1005,4563354881
1006,4563247447
1007,4561882580
1008,4560673792
1009,4560654866
1010,4560449441
1011,4560288837
1012,4559965368
1013,4559808293
1014,4559775880
1015,4559668983
1016,4559603914
1017,4559497811
1018,4559512512
1019,4559423739
1020,4559256336
1021,4559210828
1022,4558390373
1023,4558106505
1024,4557992662
1025,4557897370
1026,4557871839
1027,4557843818
1028,4555159417
1029,4555112713
1030,4555046810
1031,4554899665
1032,4554923757
1033,4545825027
1034,4545737411
1035,4545660717
1036,4545565340
1037,4545419146
1038,4545490052
1039,4545063911
1040,4544977519
1041,4545013320
1042,4543089030
1043,4543134365
1044,4543140445
1045,4542964622
1046,4542928894
1047,4542915714
1048,4542931563
1049,4542778504
1050,4540070598
1051,4539980695
1052,4539883347
1053,4536759205
1054,4536662280
1055,4536506017
1056,4535601003
1057,4535552024
1058,4535384835
1059,4535246830
1060,4534316693
1061,4534333544
1062,4534257506
